seurat_prediction_score_label,marker_sum_norm_label
0.973432762,0.746954871
0.968145636,1.243147784
0.429304443,1.082902929
0.567310146,1.0734992
0.869568399,0.864296134
0.595332528,0.68695473
0.602700307,0.827537151
0.933640636,0.762841905
0.959537384,0.850059147
0.874821564,0.665806565
0.947212232,0.692074162
0.623991622,0.454510196
0.924300024,0.577540707
1,0.699758264
0.529939078,0.690339226
0.920467563,0.657230019
0.93175739,0.846346678
0.964420467,0.54772441
0.546133706,0.387669662
0.574965876,0.822332049
0.838685919,0.736583691
0.997861739,0.496900213
0.666428722,0.554781476
0.51547053,1.033061193
0.875594967,1.069623671
0.947982937,0.942693202
0.865280559,0.715363158
0.865281793,0.456333103
0.846806446,0.449864068
0.861030703,0.401374493
0.305483755,0.642992324
0.399857548,0.502837153
0.517246208,0.57543042
0.521948722,0.791675248
0.46577567,0.464229326
0.745875099,0.353360584
0.724173939,0.788133466
0.359342715,0.581711887
0.405716624,0.21055897
0.753718746,0.625026943
0.916270274,0.687001646
0.937599754,0.622396831
0.737976265,0.889627902
0.361836974,0.928322944
0.260130307,0.712814552
0.281207436,0.451547684
0.369079544,0.492707569
0.316873167,0.975176246
0.247609351,0.557421818
0.973364051,1.038093881
0.266628527,0.5466306
0.298123363,0.756959535
0.599285322,0.519807869
0.261079206,0.404627954
0.70179366,0.294625821
0.221199833,0.187221563
0.254165558,0.593907543
0.261052295,0.784295385
0.387820282,0.522142499
0.426806336,0.461728981
0.524220385,0.15870576
0.190279557,0.287230933
0.828957993,0.083339612
0.176143047,0.363379019
0.370471517,0.964766388
0.62642365,0.614447417
0.450034047,0.286468372
0.17500603,0.772762569
0.332467707,0.644819114
0.255362436,0.286009087
0.335113918,0.814212935
0.273337499,0.430388557
0.298036831,0.361075842
0.314915411,0.272975803
0.38457577,1.10089072
0.319172958,0.548806085
0.211348642,0.276247726
0.319283566,0.764681393
0.74442725,0.085892301
0.475977663,0.222760311
0.4990008,0.113006189
0.235426171,0.129132806
0.318431868,0.535142153
0.50797236,0.155929916
0.586891731,0.118493125
0.157240685,0.212280132
0.269709863,0.094395682
0.297029383,0.076306733
0.474044274,0.225602421
0.236502461,0.221679472
0.421756605,0.187230637
0.353335647,0.073502996
0.300651885,0.06091616
0.361593344,0
0.390005595,0.159075553
0.169389833,0.148043617
0.255115029,0.04281038
0.15641295,0.181304969
0.652662884,0.169067888
0.941054187,0.177533458
0.42989847,0.239651445
0.331278804,0.09843891
0.294328269,0.831220579
0.344870689,0.304867315
0.289983944,0.325582849
0.284407571,0.033598132
0.262235445,0.080314966
0.300724765,0.289282239
0.482657563,0.063377127
0.185956175,0.08510508
0.193215439,0.163923889
0.164264518,0.107595431
0.295526292,0.095950467
0.286840639,0.256705655
0.282529073,0.522255767
0.338576567,0.259516736
0.244988981,0.184173385
0.443338149,0.147487886
0.206026032,0.47010762
0.35665484,0.871492078
0.210135538,0.149536066
0.529552039,0.370150387
0.252855736,0.151304844
0.765058254,0.185048654
0.214203556,0.228410683
0.150767611,0.117791185
0.32903651,0.294659121
0.945606835,0.664137404
0.199091331,0.283237724
0.208469587,0.227910265
0.333654748,0.911881207
0.385303873,0.265575912
0.224977178,0.137927955
0.392375016,0.081680267
0.160978146,0.218017483
0.30433327,0.184575466
0.308731112,0.516991237
0.284015575,0.206615394
0.645410808,0.292371831
0.242317697,0.056495049
0.184178681,0.079830586
0.446072827,0.315636038
