preparation,acute,acute,acute,acute,culture,culture,culture,culture,culture,culture,acute,acute,acute,acute
e-phys features,,,,,,,,,,,,,,
sag,f_AHP,FI_slope_initial,,,,,,,,,,,,
0.178425,-27.9,0.84,,,,,,,,,,,,
0.191422,-21.9,0.38,,,,,,,,,,,,
0.146519,-21.1,0.02,,,,,,,,,,,,
0.396208,-17.9033,0.387,,,,,,,,,,,,
0.316735,-18.1583,0.51,,,,,,,,,,,,
0.263189,-25.4916,0.35,,,,,,,,,,,,
0.187855,-21.906,0.294,,,,,,,,,,,,
0.449823,-16.4275,1.06,,,,,,,,,,,,
0.318131,-23.0416,0.21,,,,,,,,,,,,
0.266175,-25.4402,0.55,,,,,,,,,,,,
0.357601,-26.9,0.556,,,,,,,,,,,,
0.189807,-24.353,0.663,,,,,,,,,,,,
0.219345,-19.3,0.46,,,,,,,,,,,,
0.376499,-22.6,0.299,,,,,,,,,,,,
